header,rating,content_text
USA,NDC target against modelled domestic pathways,Almost Sufficient,"We rate the US domestic target of reducing emissions by 50%–52% (or 44%–49% excl. LULUCF) below 2005 levels by 2030 as “Almost sufficient” when compared to modelled domestic emissions pathways. The “Almost sufficient” rating indicates that the US domestic target for 2030 is not yet consistent with the 1.5°C temperature limit but could be, with moderate improvements. If all countries were to follow the US approach, warming could be held at—but not well below—2°C."
USA,NDC target against fair share,Insufficient,"We rate the US target of reducing emissions by 50%–52% (or 44%–49% excl. LULUCF) below 2005 levels by 2030 as “Insufficient” when compared with its fair-share emissions allocation. The CAT’s assessment of the US’ total fair share contribution takes into account its emissions reduction target and its climate finance. The “Insufficient” rating indicates that the 2030 target needs substantial improvements to be consistent with the 1.5°C temperature limit. Some of these improvements should be made to the domestic emissions target itself, others could come in the form of further financial support for emissions reductions achieved in developing countries. If all countries were to follow the US approach, warming would reach up to 3°C."
USA,Climate finance,Critically insufficient,"We rate the United States’ international public climate finance contributions as “Critically Insufficient”. This rating is based on the government’s 2022 OECD contributions. The Biden Administration committed to increase its climate finance contributions but contributions until 2024 remain low compared to its fair share. In FY2024, only USD 1bn (approximately the same amount as in 2023) were appropriated for climate finance by Congress. While the government claims larger sums have been made available (notably, USD 5.8 bn in 2022), these funds mainly relate to adaptation and/or are not principal financing. Only principal mitigation financing is accounted for in the CAT's rating. To improve its rating, the US needs to ramp up the level of its international climate finance contributions and stop supporting fossil fuels abroad. The US’ climate finance is not sufficient to improve the rating of its NDC against its fair share, and the CAT rates the US’s overall fair share contribution as “Insufficient”."
USA,Net zero target,Average,"We evaluate the US net zero target as: Average. The Biden Administration submitted an updated long-term strategy (LTS) to the UNFCCC in November 2021 (U.S. Department of State, 2021), in which the US officially commits to reaching net zero emissions by 2050 latest. The net zero target covers all GHG emissions, makes transparent assumptions on CO 2 removal by nature- and technology-based solutions, and specifies several key components for comprehensive planning. The US government has several avenues to improve the scope, target architecture, and transparency of its net zero target, such as including international aviation and shipping in its target coverage, and explicitly committing to reach net zero emissions within its own borders without any use of international offsets."
UAE,Overview,no rating,"Since our last update, the UAE has made significant progress both in terms of plans and in transparency, publishing an updated national emissions inventory and a comprehensive policy plan. This allowed for a more detailed assessment of the country's climate action, which has contributed to an improved rating. However, it also has become clear that the UAE is planning to rely heavily on carbon capture and storage (CCS) technologies to achieve its 2050 net zero target, undermining the target's credibility. The UAE’s large renewables investment plans continue to be overshadowed by its fossil fuel expansion and investment plans. The CAT rates the UAE’s overall climate action as “Insufficient”. This assessment is based on the 2030 target. Our analysis of the 2035 target can be found here . There are two main changes in our current assessment: first, the UAE has now updated its national GHG inventory which leads to a 15% downwards revision in historical emissions estimates. This is mainly due to lower estimates for industrial process emissions and from energy emissions, especially a sharp decrease in fugitive emissions compared to third-party estimates used in previous assessments. Second, the UAE has published a comprehensive policy plan as part of its long-term strategy (LTS), including new current policy projections. Our updated assessment includes these projections as part of the current policy range, which reflects climate action across all sectors of the economy. The lower bound of our projections now leads to a ~18% downwards revision compared to our last assessment. While there is still a 29-74 MtCO 2 e gap between current policies and the 2030 NDC target, the UAE could be close to achieving it with the planned policies for achieving its net zero target – assuming that the revised emission estimates are accurate. The UAE’s 2023 NDC sets a target of reducing emissions to 185 MtCO 2 e by 2030 (excluding land use, land use change and forestry), a 12% decrease below its previous target issued in 2022 and 13–28% below current emission levels. The CAT rates this target as “Almost sufficient” compared to a 1.5°C aligned domestic pathway and “Insufficient” when compared to the UAE’s fair share. Under current policies, the CAT estimates the UAE emissions will, in a best-case scenario, plateau close to 2022 levels until 2030 or continue to increase, meaning the country is set to miss its emission reduction target. To meet its NDC 2030 target, the government needs to implement more ambitious policies and reduce its 2030 emissions further. In its LTS, the UAE has set out a detailed set of measures to reduce emissions in the power, industry, transport, buildings, agriculture and waste sectors including both currently implemented policies and additional policies planned to be implemented in the coming years. The UAE plans to reduce its emissions to 3.5 MtCO 2 e by 2050. In the industry sector, which includes oil and gas production, the UAE plans to reduce 32% of its emissions through CCS. This translates to roughly 43.5 MtCO 2 e in 2050. In the power sector, it is expected that fossil gas will account for 50% of total installed capacity, but the UAE assumes emissions from the sector will be zero. This implies an extensive use of CCS in the power sector. This technology is nowhere near the scale and commercial viability needed to deliver on the needed emissions reductions, in large part due to both technological (such as CO 2 capture rates) and cost challenges. Because of this, high reliance on CCS undermines the credibility of the UAE’s medium and long-term emission reduction plans. The UAE is planning to increase fossil fuel production and consumption substantially by 2030, a move inconsistent with pathways required to limit warming to below 1.5°C. At the end of 2023, the UAE’s national oil company, ADNOC, awarded contracts worth USD 17bn for the development of the Hail and Ghasha offshore gas fields, as part of a USD 150bn fossil fuel expansion plan. Emissions from the production and use of this fossil gas by 2030 would be equivalent to 15–20% of the country’s present annual domestic emissions. In 2023, the UAE updated its 2050 Energy Strategy . The updated strategy includes a 30% “clean power” capacity target by 2030. The UAE has also announced an investment of USD 54bn in renewables over the next seven years to support its 2030 target. However, the strategy still foresees a large role for fossil gas in 2050, which puts in question the UAE’s stated goal of reaching net zero emissions by then due to their high reliance on CCS. The UAE continues to promote the use of CSS in order to continue exploring fossil fuels. In October 2023, ADNOC doubled its CCS target from 5 to 10 MtCO 2 e removed annually by 2030, which is only around 4% of its current emissions and less than 2% of its exported emissions. There are some positive developments in the UAE, including: The submission of a new and improved national GHG inventory, The pledge to contribute USD 100 million to the UNFCCC Loss and Damage Fund, The submission of a stronger NDC target in November 2024, now presented as an absolute emissions target instead of a reduction below a business-as-usual scenario, The submission of clear sectoral mitigation plans in its LTS, including sectoral targets, current and planned measures, and current policy scenarios, Continued investment into large scale renewables both at home and abroad. To improve its climate action, the UAE could: Update its power sector targets moving towards a 100% renewables power system and away from natural gas, Update its energy sector policies and rapidly diversify its economy away from fossil fuels both domestically and for exports, a necessary step to make the UAE’s 2050 net zero ambitions credible, Reduce its reliance on CCS as a mitigation measure and instead plan to transition away from fossil fuels in power generation and in heavy industry."
UAE,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which in absence of a better method are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
UAE,Overall rating,Insufficient,"The CAT rates the UAE’s climate targets and policies as “Insufficient”. The “Insufficient” rating indicates that the UAE’s climate policies and commitments need substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. We have improved the UAE’s overall rating compared to our previous assessment for three reasons. First, the UAE’s newly published current policy scenarios (included in its LTS) lead to 17% lower emissions by 2030. This scenario includes a sectoral breakdown and detailed information at the measure level. This is a significant improvement compared to our previous current policy scenarios, which were based only on the implementation of the Energy Strategy 2050. Second, the UAE’s 5 th National Communication to the UNFCCC also includes updated inventory data, which is 15% lower than our previous estimates, mainly due to differences in industrial process emissions and fugitive emissions. These also impact the absolute value estimated for the UAE’s 2030 emissions under current policies. Third, the CAT conducted a literature update to its fair share (FS) ranges, which aligns our equity approaches with international environmental law (Rajamani et al., 2021) and therefore exclude studies based on cost-effectiveness; it also included additional studies to reflect the latest research available in the field. This update yielded more lenient FS ranges for the UAE, contributing to improve its rating."
UAE,Policies and action against modelled domestic pathways,Insufficient,"The CAT rates the UAE’s policies and actions as “Insufficient” when compared with modelled domestic emissions pathways. The “Insufficient” rating indicates that the UAE’s climate policies and action in 2030 need substantial improvements to be consistent with limiting warming to 1.5°C. If all countries were to follow the UAE’s approach, warming would reach over 2°C and up to 3°C. The UAE’s policies and action rating has improved compared to our previous assessment for two reasons. First, the UAE’s newly published current policy scenarios (included in its LTS) lead to 17% lower emissions by 2030. This scenario includes a sectoral breakdown and detailed information at the measure level. This is a significant improvement compared to our previous current policy scenarios which were based only on the implementation of the Energy Strategy 2050. Second, the UAE’s 5 th National Communication to the UNFCCC also includes updated inventory data, which is 15% lower than our previous estimates, mainly due to differences in industrial process emissions and fugitive emissions. These also impact the absolute value estimated for the UAE’s 2030 emissions under current policies. The UAE’s LTS, published in 2024, includes targets and current policy projections for all major sectors of the economy, and detail both existing and planned measures to achieve them. While this is a significant step in transparency, it also shows that the UAE plans to rely heavily on carbon capture and storage (CCS) technologies especially after 2030 and towards its 2050 target, which undermines the credibility of its climate policies and targets. The full policies and action analysis can be found here ."
UAE,NDC target against modelled domestic pathways,Almost Sufficient,"The CAT rates the UAE’s 2030 NDC target as “Almost sufficient” when compared with modelled domestic emissions pathways. The “Almost sufficient” rating indicates that the UAE’s NDC target in 2030 is not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow The UAE’s approach, warming could be held below—but not well below—2°C."
UAE,NDC target against fair share,Insufficient,"The CAT rates the UAE’s 2030 NDC target as “Insufficient” when compared with its fair share contribution to climate action. The “Insufficient” rating indicates that the UAE’s NDC target in 2030 needs substantial improvements to be consistent with its fair share of the global mitigation effort to limit warming to 1.5°C. The UAE’s target is at the least stringent end of what would be a fair share of global effort and is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow the UAE’s approach, warming would reach over 2°C and up to 3°C. The UAE’s NDC rating has improved compared to our previous assessment for two reasons: First, we have updated the UAE’s historical data, resulting in lower emissions (excluding LULUCF) compared to the previous assessment. Our new estimates come from the UAE’s latest inventory, published in its 5 th National Communication to the UNFCCC. Second, the CAT conducted a literature update to its fair share (FS) ranges, which aligns our equity approaches with international environmental law (Rajamani et al., 2021) and therefore exclude studies based on cost-effectiveness; it also included additional studies to reflect the latest research available in the field. This update yielded more lenient FS ranges for the UAE, contributing to improve its rating."
UAE,Net zero target,Average,"The CAT evaluates the UAE's net zero target as: Average . In January 2024, the UAE submitted its LTS to the UNFCCC, confirming its commitment to reach net zero by 2050. The LTS includes several details on the UAE’s target, such as its planned emissions reductions and removals, and sectoral pathways to achieve net zero. However, the measures planned by the UAE to achieve its target remain problematic, especially due to the continued use of fossil gas for power generation, and the reliance on CCS to reduce a significant share of the country’s emissions. The UAE first announced its intention to reach net zero by 2050 in October 2021 as part of the UAE Net Zero 2050 Strategic Initiative . At COP27, the UAE presented its “National Net Zero by 2050 pathway” with further details. In March 2023, the UAE’s member states signed the UAE Governments Net Zero 2050 Charter , further signalling commitment to reaching net zero."
Türkiye,Overview,no rating,"Türkiye’s climate policy can be characterised by a blend of the good, the bad and the ugly. A commitment to reaching 120 GW of installed wind and solar capacity by 2035 is commendable, but that 2035 target would need to increase to 150 GW to align with 1.5°C. Meanwhile, efforts to increase fossil gas production and become a gas hub, as well as continued coal use, put Türkiye’s commitment to its net zero target in question and risk locking Türkiye into a fossil fuel intensive future. Türkiye’s NDC is far above its current policies and therefore demonstrates little to no ambition in cutting emissions in line with the Paris Agreement’s 1.5°C temperature goal. The NDC target allows emissions to continue increasing and will easily be over-achieved with current policies, meaning that it does not drive real-world emissions reductions nor the highest ambition policies. Türkiye will need to submit a significantly stronger emissions reduction target for 2030, develop a coal phase-out plan and stop investing in fossil fuels if it is serious about its commitment to reaching net zero carbon emissions by 2053. Türkiye’s overall CAT rating remains unchanged at ‘Critically insufficient’, though it has seen an improvement in current policies to ‘Highly insufficient’. Türkiye’s NDC provides an absolute emissions target of 695 MtCO 2 e (incl. LULUCF) in 2030, which equates to 765 MtCO 2 e when LULUCF is excluded. It also allows emissions to continue increasing until 2038, which is far too late to align with 1.5°C or achieve its net zero target in 2053 without extremely steep reductions over a 15-year period. Türkiye should submit a stronger, 1.5°C compatible NDC which can drive ambition and provide a realistic pathway towards achieving the 2053 target. Türkiye’s recently-announced Roadmap for Renewable Energy to 2035 aims to roll out renewables at a rate of “at least” 7.5–8 GW a year until 2035, along with investments of USD 28 bn to upgrade the grid. This represents a sustainable form of diversifying Türkiye’s energy mix. Türkiye has large potential for wind and solar, and both technologies are witnessing declining costs; a trend that will only continue. They therefore represent a cost-effective and sustainable way to increase energy independence. While Türkiye’s 2035 wind and solar target should be lauded as an impressive commitment to scaling up clean energy, without major decreases in energy demand it will not be enough to align with the 1.5°C temperature goal. Plans to simultaneously and substantially increase domestic fossil fuel production and use run counter to the goals of the Paris Agreement, which requires a phasing out of fossil fuel capacity rather than a scaling up. Türkiye is investing heavily in oil and gas exploration, with plans for 270 drilling operations in 2025. If this course is not reversed, it risks locking Türkiye into a carbon-intensive future. Even more worrying is Türkiye’s continued reliance on coal. Despite its severe health and environmental impacts, Türkiye is poised to become the largest producer of coal-fired electricity in Europe by 2025. However, a significant coal pipeline has recently been shelved as state support for renewables grows, indicating positive steps towards reducing Türkiye’s coal dependence in the longer-term. Given that a coal phase-out is low hanging fruit for decarbonising the economy, Türkiye should commit to phasing out existing coal capacity from its power sector. Recent positive policy developments include: The 2035 renewables target combined with investments in grid infrastructure: an important step towards decarbonising the grid. Efforts to streamline permitting processes for renewable energy projects from the current four years to two years or less, introducing tenders, and offering a floor price and long-term electricity purchase guarantees to investors: this will improve the regulatory environment for investing in renewables and allow quicker returns on investments. Investments of USD 20 bn to improve energy efficiency by 16% by 2030: this will take pressure off the grid and support Türkiye in decoupling emissions from economic growth. The introduction of an Emissions Trading System (ETS) similar to the European Union’s ETS: this will be a central pillar of reducing Türkiye’s industrial emissions. The ETS, which will also apply to the shipping sector, can improve the competitiveness of Turkish industry and provide a more predictable emissions reduction path for companies to follow. Investments in the manufacturing of Türkiye’s own domestically-produced electric vehicle, the Togg, can combine industrial policy with transport policy, providing green jobs and growth while supporting emissions reductions in the transport sector. To improve its climate targets and action rating, Türkiye could: Develop a fossil fuel phase-out plan for the power sector. Türkiye is currently on track to becoming the largest producer of coal-fired electricity in Europe by 2025 and is investing heavily in fossil gas, both of which should be phased out of the power sector in the 2030s. Strengthen its wind and solar target with the aim of bringing 150 GW of capacity online by 2035. Speed up implementation; in 2023 just 2 GW of solar and just 411 MW of wind capacity was added to the grid. Considering that current targets fall short of aligning with 1.5°C compatible pathway, failing to implement them is inexcusable. Set a stronger 2030 NDC target that goes beyond current policies and drives emissions reductions. Ideally, this would be in the form of an emissions limit or reduction from a historical base year. There is much to be improved in Türkiye’s draft climate law. Pathways that demonstrate how Türkiye intends to reach net zero, and developing clear policies with actionable targets and measures can improve transparency and help ministries to implement climate goals effectively."
Türkiye,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which in absence of a better method are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
Türkiye,Overall rating,Critically insufficient,"The CAT rates Türkiye’s climate targets, policies and finance as “Critically insufficient”, a rating that indicates Türkiye’s climate policies and commitments reflect minimal to no action and are not at all consistent with the Paris Agreement’s 1.5°C temperature limit. In April 2023, Türkiye submitted an updated NDC target. However, this new 2030 NDC target relies on a business as usual (BAU) scenario which uses a historical base year of 2012. Emissions have grown far slower than emissions under that BAU scenario. The target does not drive real-world emissions reductions, and cannot be considered at all ambitious. Current policy projections indicate that Türkiye’s emissions will continue to grow. Despite recently improved renewables target, without a peaking and rapid decline in economy-wide emissions, Türkiye remains well off-track from aligning with 1.5°C. For a better rating, Türkiye needs to set an ambitious NDC target and develop and implement policies that will set its projected emissions on a clear downward trajectory across all sectors."
Türkiye,Policies and action  against fair share,Highly insufficient,"Türkiye’s current policies and action are “Highly insufficient” when compared to its fair share contribution. The “Highly insufficient” rating indicates that Türkiye’s policies and action in 2030 lead to rising, rather than falling, emissions and are not at all consistent with limiting warming to 1.5°C. If all countries were to follow Türkiye’s approach, warming could reach over 3°C and up to 4°C. Türkiye needs to focus on adopting further policies and action to stop its emissions growth and start reducing emissions towards decarbonisation. Plans to scale up wind and solar by at least 7.5–8 GW a year until 2035, along with a USD 20 billion package to reduce energy demand by 16% by 2030 represent positive steps towards decarbonising Türkiye’s economy. However, they are not enough to align with 1.5°C. If Türkiye succeeds in meeting its annual additions target by 2035, it will have 120 GW of installed wind and solar capacity. To be 1.5°C aligned, however, Turkey would need to install 150 GW by 2035. At the same time, Türkiye continues to invest in fossil fuels to meet energy demand, with plans to become a fossil gas hub and 4.6 GW of coal capacity still in the pipeline. These developments stand in contrast to 1.5°C compatible scenarios; to align with 1.5°C, Türkiye needs to effectively phase out fossil fuels from the power sector in the 2030s, providing almost 100% renewable electricity by 2035. Türkiye is launching an Emissions Trading System (ETS) which will play an important part in cutting industrial emissions and adapting to the EU’s Carbon Border Adjustment Mechanism, thus maintaining competitiveness for Türkiye’s export-driven industries. Along with cutting emissions in carbon-intensive industries through the ETS, Türkiye is investing in the domestic manufacturing of electric cars and trains. Through domestic production, it is likely that this will feed into higher uptake in the Turkish transport sector. The full policies and action analysis can be found here ."
Türkiye,NDC target against modelled domestic pathways,Critically insufficient,"We rate Türkiye’s updated NDC target as “Critically insufficient” when compared with modelled domestic pathways. The “Critically insufficient” rating indicates that Türkiye’s NDC target in 2030 reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C. If all countries were to follow Türkiye’s approach, warming would exceed 4°C. Türkiye already achieves this target based on our emissions estimate for 2030 under current policies, which further highlights the weakness of this target. Türkiye should significantly strengthen its 2030 target."
Türkiye,NDC target against fair share,Critically insufficient,"We also rate Türkiye’s updated NDC target as “Critically insufficient” when compared with its fair share contribution to climate action. The “Critically insufficient” rating indicates that Türkiye’s NDC target reflects minimal to no action and is not at all consistent with its fair share of the global mitigation effort to limit warming to 1.5°C. If all countries were to follow Türkiye’s approach, warming would exceed 4°C."
Türkiye,Climate finance,Information incomplete,We do not have sufficient information to assess Türkiye’s climate finance contribution.
Türkiye,Net zero target,Poor,"In 2021, Türkiye announced a 2053 net zero target. Since then, Türkiye’s Climate Council released a roadmap to achieve net zero emissions and the government developed a draft climate law. Türkiye was expected to submit a long-term strategy (LTS) to the UNFCCC in 2022, but has not done so. It is now expected to be released at COP29. We evaluate the 2053 target as: ""Poor"". The full net zero target analysis can be found here ."
The Gambia,Overview,no rating,"NOTE: We have updated our analysis of The Gambia's net zero target. The rest of the assessment is from our July 2022 update. The Gambia’s domestic efforts to meet the objectives of the Paris Agreement are in line with its fair share due to its small historical responsibility and strong development needs, but with international support it could still significantly improve the extent of its climate action. At a time when countries should be moving away from fossil fuels, The Gambia continues to promote efforts to extract oil and gas in an attempt to offset its dependency on imported fuel oil. Whilst The Gambia’s reliance on imported oil is a burden on its economy and leaves the country vulnerable to a volatile commodity market exacerbated by Russia’s illegal invasion of Ukraine, the most sustainable way to escape this is via accelerated deployment of renewable energy and electrification of transport. To achieve this The Gambia will need international support. Increasing its renewable energy generation and transitioning to an affordable sustainable, renewable energy system would put The Gambia fully onto a 1.5°C-compatible pathway, avoid carbon intensive technology lock-in, and improve its energy security, while also achieving a critical milestone for the country’s socio-economic development. The Gambia’s land sector, accounting for one third of emissions, has turned from a net sink to a source, and, if deforestation continues at the same rate, the government warns there will be no forests left by 2050. It has implemented policies to begin turning the situation around. The CAT had rated the indicative 2030 target in The Gambia’s first NDC and policies as “1.5°C compatible.” However, while The Gambia’s 2021 NDC is a progression from its 2016 NDC in some ways, such as expanding sector coverage, the update does not lead to lower emissions than the first NDC due to a revision of the BAU scenario. The total absolute emissions level in 2030 is higher in the updated NDC than in the first. As a result, the CAT’s rating of its conditional NDC target against modelled domestic pathways and the overall rating have fallen from ""1.5°C compatible"" to ""Almost sufficient"". The country will need international support and more stringent policies to meet its NDC targets."
The Gambia,Overall rating,Almost Sufficient,"The CAT rates The Gambia’s climate targets and policies as “Almost sufficient ,” a rating that indicates that some of The Gambia’s climate commitments are not yet consistent with limiting warming to 1.5°C, but could be with moderate improvements."
The Gambia,Policies and action  against fair share,1.5°C compatible,"The CAT rates The Gambia’s policies and action as “1.5°C compatible” when compared to its fair-share contribution. However, there is significant potential for mitigation actions to go beyond The Gambia’s fair share with the help of international support. The Gambia has an NDC target that would bend its emissions downwards; however, its current policies are not on track to meet this target. The Gambia will need to implement more stringent policies to meet its NDC target, for which it will need additional international support. One of The Gambia’s strategies to achieve its emission reductions targets is the uptake of renewable energy technology. After a slow start and delays due to COVID-19, The Gambia is now rapidly increasing its renewable energy capacity with a total of 170 MW in solar PV projects in the pipeline for 2021-2025 partially financed by the World Bank and the European Investment Bank. At a time when countries should be moving away from fossil fuels, The Gambia continues to promote efforts to extract oil and gas in an attempt to offset its dependency on imported fuel oil. The Gambia’s continued reliance on oil is not only a burden on the economy but also leaves the country vulnerable to a volatile commodity market exacerbated by Russia’s illegal invasion of Ukraine. The full policies and action analysis can be found here ."
The Gambia,Conditional NDC target against modelled domestic pathways,Almost Sufficient,"The CAT rates The Gambia’s NDC target as “Almost sufficient” when compared to the reductions needed within The Gambia’s borders to limit warming to 1.5°C. The “Almost sufficient” rating indicates that The Gambia’s NDC target is not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow The Gambia's approach, warming could be held below—but not well below—2°C."
The Gambia,Unconditional NDC target against fair share,1.5°C compatible,"The CAT rates the unconditional component of The Gambia’s NDC target “1.5°C compatible” when compared to what its fair share contribution is. The “1.5°C compatible” rating indicates that The Gambia’s fair share target is consistent with limiting warming to 1.5°C. The Gambia’s fair share target does not require other countries to make comparably deeper reductions or greater effort, and is in the most stringent part of its fair share range. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here ."
The Gambia,Land use & forestry,Source & Sink,"The Gambia’s emissions from Land-use, land-use change and forestry (LULUCF) contributed to almost one third of the country’s total emissions in 2010. Until 1998 The Gambia’s LULUCF sector was a net carbon sink, but from 1999 onwards the sector has been a net carbon source (Republic of The Gambia, 2012). In 2000, The Gambia’s LULUCF sector had net emissions of approximately 0.52 MtCO 2 e, and by 2010 emissions had increased by over 200% to 1.18 MtCO 2 e (Republic of The Gambia, 2012, 2020)."
The Gambia,Net zero target,Poor,"In September 2022, The Gambia submitted its Long-Term Strategy (LTS) for “climate neutral” development by 2050. Although the LTS provides a comprehensive plan for reaching net zero GHG emission by 2050, it does not include transparent quantifiable targets for how The Gambia will switch its LULUCF sector from a net carbon source to a net carbon sink by 2050 and only covers 81% of GHG emissions. The CAT emissions reduction target evaluation may improve in the future as The Gambia provides more information on its projected pathways. Another way that The Gambia could improve this rating is if its net zero target were to cover more than 95% its total emissions. The CAT evaluates the comprehensiveness of The Gambia’s net zero target as “Poor”. The full analysis is here ."
Thailand,Overview,no rating,"NOTE: This assessment is based on our September 2021 assessment with updates to the targets, net zero and Glasgow sectoral pledge sections (under policies and action), which are also reflected in the summary. Emissions pathways have also been revised due to latest historical emissions data and GDP forecasts. No policy updates were quantified in this revision. Thailand’s overall climate performance has been historically weak despite some good intentions and expected forthcoming positive developments. One positive update is that Thailand raised its ambition with its Second NDC and revised Long-term Low Greenhouse Gas Emission Development Strategy (LT-LEDS) in November 2022, which results in strengthened targets. While the updated NDC is an improvement, it does not yet reflect a fair share contribution and is still far from being 1.5°C compatible. Thailand is not projected to reach its new targets under current policies, but could reach its unconditional target under planned policies. Prior to COP26 in 2021, Thailand submitted a “carbon neutrality” by 2065 target. Thailand’s Second NDC and revised LT-LEDS now references a revised and accelerated target of “carbon neutrality” by 2050 and net zero GHGs by 2065. Thailand’s current policies projections are unable to achieve its climate commitments and signal a need to accelerate mitigation efforts, which could begin with the rollout of its planned policies. Thailand’s last shift in power sector planning, from a dependency on coal to fossil gas over the next two decades, lowers the overall emission pathways in its planned policies but nevertheless exacerbates fossil fuel (gas) lock-in and delays meaningful decarbonisation efforts. In 2022, Thailand has been focused on securing fossil supply and doubling down on gas as the energy fuel for the future, having planned a build-out of new LNG import capacity, approved a new 1,400 MW gas-fired power plant, and secured gas fields in Myanmar. The potential for renewable energy remains high and largely untapped, with deployment stagnating since pre-COVID pandemic. However, Thailand has shown a recent intent to get on track: the government is in the process of drafting a range of important climate-relevant documents, including its Climate Change Act and National Energy Plan (all subsumed energy documents due to be updated). In November 2022, Thailand revised its Long-Term Low Greenhouse Gas Emissions Development Strategy (LT-LEDS), first submitted in September 2021. These policies will strengthen the country’s climate governance, include power sector targets with greater ambition, and also include more details on the implementation roadmap towards achieving long-term carbon neutrality and net-zero targets. Finalisation of the National Energy Plan in 2023, would increase Thailand’s renewable share targets and lower emission pathways, but will remain off of a 1.5°C compatible pathway. Until the next wave of Thailand’s climate strategies and its accompanying mitigation policies are implemented and strengthened, the CAT rates Thailand’s unconditional climate target and policies as “Critically Insufficient”."
Thailand,Overall rating,Critically insufficient,"The CAT rates Thailand’s overall rating as “Critically insufficient”, indicating that Thailand’s current climate policies and commitments reflect minimal action and are not at all consistent with the Paris Agreement. Under Thailand’s current policies and unconditional NDC target, emissions will continue to rise and are consistent with more than 4°C warming. Thailand’s conditional target shows greater ambition, but is not yet compatible with 2°C or 1.5°C. For Thailand to improve its rating, it needs to establish the policies needed to curb its expected growth in emissions and plan for the long term towards deep decarbonisation. As a first step, it needs to not only solidify its energy and power sector policy plans but to revise and strengthen them to move away from decades of envisaged fossil fuel dependence. These are currently being revised in alignment with the adoption of Thailand’s new National Energy Plan due in 2023. Adoption of these plans and their embedded policy targets will lower the country’s projected emission pathway and improve its policies rating. Thailand has revised its Long-Term Low Greenhouse Gas Emissions Development Strategy after the submission of its Second NDC."
Thailand,Policies and action  against fair share,Critically insufficient,"Thailand has announced several major policies aiming at increasing climate ambition and sustainable development in recent years but is off track in achieving its climate targets and shows little indication of implementation progress towards Paris-compatibility. We rate Thailand’s policies and action as “Critically insufficient” when compared to its fair share. Thailand has plans to expand renewable energy generation, reduce energy intensity of energy sub-sectors, move towards 100% EV sales starting in 2035, and continue expansion of carbon sinks in the forestry sector. The government has also announced its preparation of a Climate Change Act , the drafting of the National Energy Plan, which is expected to provide a low-carbon roadmap towards 2050, and a possible revision of its 20-year National Strategy and National Economic and Social Development Plan to reflect the impact of the COVID-19 pandemic. These documents will strengthen climate governance and enhance renewable share targets, but would not be ambitious enough for 1.5°-compatibility. Thailand’s current and planned policies fall significantly short of any criteria for 1.5°C-compatibility, and result in an increase in domestic emissions towards 2030. Thailand’s recent shift in power sector planning from a dependency on coal to fossil gas over the next two decades lowers overall emission pathways but nevertheless exacerbates fossil fuel (gas) lock-in, and delays meaningful decarbonisation efforts. Institutional and system planning barriers for renewables remain high, leading to projections of slow growth in clean energy development. We rate Thailand’s policies and action as “Critically insufficient” when compared to its fair share. The “Critically insufficient” rating indicates that Thailand’s policies and action in 2030 reflect minimal to no action and are not at all consistent with the 1.5°C temperature limit. Thailand’s emissions rise in both its current and planned policy projections and is significantly off track when compared to its fair share trajectory. If all countries were to follow Thailand’s approach, warming would exceed 4°C. The government needs to implement more stringent policies, for which it will also need additional support."
Thailand,Conditional NDC target against modelled domestic pathways,Insufficient,"We rate Thailand’s 2030 conditional targets as “Insufficient”. The “Insufficient” rating indicates that Thailand’s conditional target in 2030 is not yet consistent with the 1.5°C temperature limit. For Thailand’s target to be in line with 1.5 °C, its conditional NDC commitment would need to be a 65% reduction below the same BAU."
